id,question,answer
1,Wie bereite ich mich auf eine Mammographie vor?,Für die Mammografie ist keine spezielle Vorbereitung notwendig. Möglicherweise Entfernung von Schmuck im Brustbereich.
2, Tut eine Mammografie weh?,"Die Brust wird zusammengedrückt, um eine bessere Bildqualität zu erreichen, was schmerzhaft sein kann."
3,Wie lange dauert eine Mammographie? ,"Die Aufnahme der Bilder selbst dauert nur wenige Sekunden, mit den Vor- und Nachbereitungen insgesamt etwa 15 Minuten."
4,Wie oft sollte ich eine Mammographie machen lassen?,Nach Empfehlung der Schweizer Krebsliga sollte eine Mammografie alle 2 Jahre für Frauen ab 50 durchgeführt werden. In Absprache mit Ihrem Hausarzt oder Frauenarzt.
5,Gibt es Risiken oder Nebenwirkungen einer Mammographie?,"Es besteht das Risiko eines falsch positiven Befundes, d.h. dass auf den Mammographiebildern der Verdacht auf eine bösartige Erkrankung geäussert wird, die sich in der anschliessenden Gewebeprobe (Biopsie) nicht bestätigt. Die Mammographie ist ein bildgebendes Verfahren, das Strahlung verwendet, hierdurch können DNA-Schäden entstehen."
6,"Kann ich eine Mammographie haben, wenn ich schwanger bin oder stille?","Während einer Schwangerschaft wird aufgrund der Strahlenbelastung des Ungeborenen von einer Mammographie abgeraten. Eine Mammographie während der Stillzeit ist unbedenklich, die Qualität ist jedoch eingeschränkt (u.a. dichtes Drüsengebewebe, Flüssigkeitseinlagerung)."
7,Kann eine Mammographie Brustkrebs verursachen oder bestehenden Krebs verschlimmern?,Durch die Strahlenexposition besteht ein theoretisches Risiko Brustkrebs zu verursachen. Eine Verschlimmerung von Krebs ist in der Literatur nicht beschrieben.
8,Was ist der beste Zeitpunkt für eine Mammographie?,"Der beste Zeitpunkt für eine Mammographie ist während der Periode oder in der ersten Woche danach. In dieser Zeit ist der Flüssigkeitsgehalt der Brust am geringsten und das Brustgewebe somit weich und gut ""durchleuchtbar"". Somit sind die Ergebnisse der Mammographie am besten beurteilbar."
9,"Kann ich eine Mammographie haben, wenn ich Brustimplantate habe?","Ja, Sie können eine Mammographie haben, wenn Sie Brustimplantate haben"
10,Ist eine Mammographie die einzige Möglichkeit zur Früherkennung von Brustkrebs?,"Nein, vor allem bei sehr dichtem Brustgewebe wird zusätzlich eine Ultraschalluntersuchung (synonym: Sonographie) oder Magnetresonanztomographie durchgeführt. Ganz neu ist die Computertomographie (CT) der Brust, die eine minimal höhere Strahlendosis verwendet, jedoch ohne Kompression der Brust auskommt. Hier im Kanton Bern gibt es im Moment noch kein solches CT Gerät."
11,Wie oft sollte ich eine klinische Brustuntersuchung machen lassen?,"Hierzu gibt es keine offiziellen Empfehlungen, jedoch sollte im Rahmen jedes Besuchs beim Hausarzt oder Frauenarzt eine klinische ärztliche Untersuchung durchgeführt werden."
12,Was ist der Unterschied zwischen einer Screening-Mammographie und einer diagnostischen Mammographie?,"Eine Screening-Mammographie wird im Rahmen der Gesundheitsvorsorge für alle Frauen ab einem bestimmten Alter empfohlen, wenn kein Brusttumor bereits bekannt ist. Eine diagnostische Mammographie wird zur genaueren Abklärung von Auffälligkeiten oder Beschwerden durchgeführt (z.B. Tastbefund, Schmerzen, Hautveränderung)."
13,"Kann eine Mammographie meiner Brust durchgeführt werden, wenn ich eine empfindliche Brust habe?","Ja, sollte die Untersuchung zu stark unangenehm sein, haben Sie jederzeit die Möglichkeit die Untersuchung abzubrechen."
14,Wie unterscheidet sich eine digitale Mammographie von einer herkömmlichen Mammographie?,"Bei der digitalen Mammographie treffen die Röntgenstrahlen auf einem Detektor auf, nach elektronischer bzw. digitaler Umwandlung wird aus den Röntgenstrahlen ein Bild generiert. Bei der herkömmlichen Mammographie schwärzen die Röntgenstrahlen einen Film, dieser wird chemisch behandelt und entwickelt, ähnlich wie in der analogen Fotographie."
15,Wie hoch ist die Strahlenbelastung bei einer Mammographie?,"Die effektive Dosis erreicht ca. 0,2 Millisievert (mSv); dies entspricht etwa der natürlichen Strahlenbelastung von 2 Wochen."
16,"Muss ich etwas Besonderes tun, nachdem ich eine Mammographie hatte?","Nein, Sie müssen nichts besonderes tun, nachdem Sie eine Mammographie hatten."
17,Was sind die Vorteile einer regelmässigen Mammographie zur Früherkennung von Brustkrebs?,Eine frühere Krebserkennung verbessert möglicherweise die Therapiechancen.
18,Muss ich während der Mammographie meine Kleidung ausziehen?,Kann ich während der Mammographie eine Begleitperson mitbringen? Kann ich meine Mutter oder eine andere weibliche Bezugsperson zur Mammographie begleiten?
19,Kann ich während der Mammographie eine Begleitperson mitbringen? Kann ich meine Mutter oder eine andere weibliche Bezugsperson zur Mammographie begleiten?,"Ja, Begleitpersonen dürfen gerne während der Untersuchung im Wartezimmer  Platz nehmen."
20,Kann ich während der Mammographie meinen Schmuck anbehalten?,"Ja, Sie können Schmuck anbehalten, solange dieser nicht im Bereich der Brust liegt."
21,Wie hoch sind die Kosten für eine Mammographie?,Für eine beidseitige Mammographie ist ein Preis durch den TARMED-Tarif festgelegt und liegt bei 166.20 CHF.
22,Wird meine Krankenversicherung die Kosten für eine Mammographie übernehmen?,"Die Kostenübernahme hängt von Ihrer Krankenkasse ab. Bitte kontaktieren Sie hierfür Ihren Vertreter. In manchen Kantonen gibt es Früherkennungsprogramme, hier werden die Kosten für das Screening vom Kanton getragen."
23,"Wie kann ich mich auf Brustkrebs untersuchen lassen, wenn ich eine Mammographie nicht machen lassen möchte? Gibt es Alternativen zur Mammographie zur Früherkennung von Brustkrebs?",Als alternative Bildgebungsverfahren stehen die Sonographie oder Magnetresonanztomographie (MRT) sowie die klinische Untersuchung zur Verfügung. Durch Ihre regelmässige Abtastung Ihrer Brust können Sie zu einer Früherkennung möglicher Krebsentwicklungen beitragen.
24,Kann eine Mammographie bei jungen Mädchen Schäden verursachen?,Durch die Strahlenexposition besteht ein theoretisches Risiko Brustkrebs zu verursachen. Als Alternative steht die Untersuchung mit Ultraschall oder Magnetresonanztomographie zur Verfügung.
25,"Kann bei mir eine Mammographie durchgeführt werden, wenn ich eine angeborene Brustfehlbildung habe?",Dies hängt von Ihrer Fehlbildung ab. Fragen Sie zu Ihrem Anliegen bitte Ihren Arzt.
26,"Kann Mammographie meiner Brust durchgeführt werden, wenn ich noch nicht volljährig bin?","Sofern eine Diagnostik mit Mammographie notwendig ist, kann eine Mammographie auch bei Minderjährigen durchgeführt werden."
27,Ich habe Angst vor der Untersuchung. Was kann ich tun? ,"Sprechen Sie mit Ihrem Arzt und teilen Sie Ihre Ängste mit. Häufig vermindert sich die Angst, wenn früh darüber sprechen und die möglichen Fragen klären können. "
28,Muss ich vor der Mammographie etwas beachten?,Benutzen Sie bitte vor der Untersuchung keine Kosmetika wie Bodylotion oder Deodorant.
29,"Was passiert, wenn eine Abnormalität auf den Mammographiebildern gefunden wird?","Zur Sicherung der Diagnose und zur genauen Gewebebestimmung wird eine Gewebebiopsie durchgeführt. Bei unklarem Befund in der Mammographie werden eventuell zusätzliche bildgebende Verfahren (Sonographie, MRT) durchgeführt."
30,Wie genau sind Mammographien bei der Erkennung von Brustkrebs?,Die Detektionsrate von Brustkrebs mit Mammographie liegt bei 80 bis 90 %.
31,"Wie lange dauert es, bis ich die Ergebnisse meiner Mammographie erfahre?","Die Ergebnisse sollten Ihnen innerhalb einer Woche vorliegen. Wenn Sie hausärztlich oder von Ihrem Gynäkologen nicht informiert werden, kann unter dieser Adresse xyz die Kontaktinformation abgerufen werden."
32,Meine Mutter hat Brustkrebs. Sollte ich einen Gentest machen?,Sprechen Sie mit Ihrem Arzt über die Möglichkeit einen Gentest durchzuführen. Ein Gentest sollte nur nach umfassender Aufklärung und reiflicher Überlegung durchgeführt werden.
33,Wann sollte ich einen Gentest machen lassen?,Hierfür gibt es spezielle Kriterien. Sprechen Sie mit Ihrem Arzt über die Möglichkeit einen Gentest durchzuführen.
